Day,BOLETOS,month,day_name,day_type,day_tipo,April,August,December,February,January,July,June,March,May,November,October,September,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,weekday,weekend,HDAY,LDAY,NDAY,RDAY,BV,WB,FX,SO,UN,PT,MHM,LMM,MHH,LML,HLL,MML,NML,HHL,MMM,NMM,LHM,HML,MHL,NHM,HHM,NHL,LHL,NLL,HMM,NLM,HMH
2016-01-23,1.839945257,January,Saturday,weekend,NDAY,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,3,3,5,5,2,2,5,2,0,0,0,0,5,0,2,1,4,0,0,0,0,0,1,0,0,0,0
2016-01-24,2.037185479,January,Sunday,weekend,NDAY,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,3,3,5,5,2,2,5,2,0,0,0,0,5,0,2,1,4,0,0,0,0,0,1,0,0,0,0
2016-01-25,0.299415189,January,Monday,weekday,NDAY,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,3,3,5,5,2,2,5,2,0,0,0,0,5,0,2,1,4,0,0,0,0,0,1,0,0,0,0
2016-01-26,0.475625631,January,Tuesday,weekday,NDAY,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,3,3,5,5,2,2,5,2,0,0,0,0,5,0,2,1,4,0,0,0,0,0,1,0,0,0,0
2016-01-27,0.707964417,January,Wednesday,weekday,NDAY,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,3,3,5,5,2,2,5,2,0,0,0,0,5,0,2,1,4,0,0,0,0,0,1,0,0,0,0
2016-01-28,0.466338865,January,Thursday,weekday,NDAY,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,3,3,5,5,2,2,5,2,0,0,0,0,5,0,2,1,4,0,0,0,0,0,1,0,0,0,0
2016-01-29,1.834259681,January,Friday,weekday,NDAY,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,4,3,6,5,2,2,6,2,0,0,0,0,6,0,2,1,4,0,0,0,0,0,1,0,0,0,0
2016-01-30,2.1827499180000003,January,Saturday,weekend,NDAY,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,4,3,6,5,2,2,6,2,0,0,0,0,6,0,2,1,4,0,0,0,0,0,1,0,0,0,0
2016-01-31,3.115004931,January,Sunday,weekend,NDAY,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,4,3,6,5,2,2,6,2,0,0,0,0,6,0,2,1,4,0,0,0,0,0,1,0,0,0,0
2016-02-01,2.4318224980000003,February,Monday,weekday,RDAY,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,4,3,6,5,2,2,6,2,0,0,0,0,6,0,2,1,4,0,0,0,0,0,1,0,0,0,0
2016-02-02,0.472422398,February,Tuesday,weekday,NDAY,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,4,3,6,5,2,2,6,2,0,0,0,0,6,0,2,1,4,0,0,0,0,0,1,0,0,0,0
2016-02-03,0.827456104,February,Wednesday,weekday,NDAY,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,4,3,6,5,2,2,6,2,0,0,0,0,6,0,2,1,4,0,0,0,0,0,1,0,0,0,0
2016-02-04,0.486866305,February,Thursday,weekday,NDAY,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,4,3,6,5,2,2,6,2,0,0,0,0,6,0,2,1,4,0,0,0,0,0,1,0,0,0,0
2016-02-05,1.231347269,February,Friday,weekday,NDAY,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,4,3,6,6,3,2,6,3,0,0,0,0,7,0,2,1,4,0,0,0,0,0,1,0,0,0,0
2016-02-06,1.701195028,February,Saturday,weekend,NDAY,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,4,3,6,6,3,2,6,3,0,0,0,0,7,0,2,1,4,0,0,0,0,0,1,0,0,0,0
2016-02-07,1.528644491,February,Sunday,weekend,NDAY,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,4,3,6,6,3,2,6,3,0,0,0,0,7,0,2,1,4,0,0,0,0,0,1,0,0,0,0
2016-02-08,0.37251871,February,Monday,weekday,NDAY,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,4,3,6,6,3,2,6,3,0,0,0,0,7,0,2,1,4,0,0,0,0,0,1,0,0,0,0
2016-02-09,0.469183284,February,Tuesday,weekday,NDAY,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,4,3,6,6,3,2,6,3,0,0,0,0,7,0,2,1,4,0,0,0,0,0,1,0,0,0,0
2016-02-10,0.5018484329999999,February,Wednesday,weekday,NDAY,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,4,3,6,6,3,2,6,3,0,0,0,0,7,0,2,1,4,0,0,0,0,0,1,0,0,0,0
2016-02-11,0.574041871,February,Thursday,weekday,NDAY,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,4,3,6,6,3,2,6,3,0,0,0,0,7,0,2,1,4,0,0,0,0,0,1,0,0,0,0
2016-02-12,2.18680452,February,Friday,weekday,NDAY,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,4,4,7,6,3,3,6,3,0,1,0,0,8,0,2,1,4,0,0,0,1,0,1,0,0,0,0
2016-02-13,2.53010826,February,Saturday,weekend,NDAY,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,4,3,7,6,3,3,6,3,0,1,0,0,7,0,2,1,4,0,0,0,1,0,1,0,0,0,0
2016-02-14,3.587556845,February,Sunday,weekend,NDAY,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,4,3,7,6,3,3,6,3,0,1,0,0,7,0,2,1,4,0,0,0,1,0,1,0,0,0,0
