Day,BOLETOS
07/08/2016,4.604749728
11/03/2017,2.534022597
10/12/2017,1.647242404
16/01/2016,1.608265385
01/07/2016,2.157848206
06/03/2017,0.609460105
10/11/2017,1.903996872
04/07/2016,1.083183058
07/03/2017,0.720118436
03/12/2017,2.263682115
05/07/2016,1.486385952
06/04/2017,0.629354727
09/12/2017,1.397351076
06/07/2016,1.961051608
21/03/2017,0.960657759
12/11/2017,4.097141657
07/07/2016,0.901463185
20/03/2017,3.671271484
30/10/2017,1.168685244
08/07/2016,1.741780187
23/03/2017,0.571122427
31/10/2017,1.395132951
13/07/2016,1.819659201
14/03/2017,0.663853091
11/11/2017,3.497784768
11/07/2016,0.900155143
27/04/2017,0.467800218
08/12/2017,0.582565342
12/07/2016,1.313930012
28/04/2017,1.999033733
13/11/2017,0.87227201
22/07/2016,1.823472418
16/05/2017,0.821936887
15/11/2017,1.398466662
16/07/2016,3.21020489
11/04/2017,1.392539702
14/11/2017,1.039022803
15/07/2016,2.679557679
07/04/2017,1.390145432
21/11/2017,0.874963117
14/07/2016,0.966659744
08/04/2017,2.257950872
20/11/2017,3.535179743
20/07/2016,2.646083566
09/04/2017,2.919937166
22/11/2017,0.978879002
17/07/2016,4.105146478
10/04/2017,1.15583643
04/08/2016,1.539203418
29/03/2017,0.925383051
13/12/2017,0.977525293
05/08/2016,4.122392398
13/04/2017,4.047047918
14/12/2017,0.954006646
27/07/2016,2.090756455
12/04/2017,2.587613145
15/12/2017,1.097630226
01/08/2016,1.439988001
03/04/2017,0.700367339
18/12/2017,0.715078726
19/07/2016,1.99936319
27/03/2017,0.484775396
19/12/2017,0.860170182
18/07/2016,1.459230233
04/04/2017,0.905194853
20/12/2017,1.092959116
26/07/2016,1.520698385
02/04/2017,3.705489321
29/11/2017,0.527868994
08/08/2016,1.7570037
24/03/2017,1.454810293
28/11/2017,0.399707049
09/08/2016,2.029999408
18/04/2017,1.991919424
21/12/2017,1.092205606
11/08/2016,1.317854136
14/04/2017,3.946136288
27/11/2017,0.311037511
02/08/2016,1.856825839
05/05/2017,2.504443251
04/12/2017,0.370466945
10/08/2016,2.541417434
12/05/2017,1.593299567
05/12/2017,0.431964455
21/07/2016,1.25056993
05/04/2017,1.168998391
06/12/2017,0.522737949
25/08/2016,0.427958782
29/04/2017,2.629568322
07/12/2017,0.134765091
25/07/2016,1.094201919
15/04/2017,3.555198319
12/12/2017,0.673446481
30/07/2016,3.254854437
30/04/2017,4.172303467
11/12/2017,0.266710896
31/07/2016,4.11417555
26/03/2017,3.480672588
16/08/2016,1.228864927
28/03/2017,0.617109373
29/07/2016,2.59155684
16/04/2017,3.794129501
03/08/2016,2.499064298
17/04/2017,1.89165366
13/08/2016,2.812420091
19/04/2017,2.62080673
22/12/2017,1.205538735
18/08/2016,0.838549989
31/03/2017,2.332753869
27/12/2017,2.50490971
12/08/2016,1.919187765
01/04/2017,3.190355935
23/12/2017,1.508635701
22/08/2016,0.44725973
30/03/2017,0.534725609
25/12/2017,2.938044241
24/08/2016,0.834619342
24/04/2017,0.389666772
26/12/2017,2.312118784
15/08/2016,0.94785135
09/05/2017,0.936718321
10/01/2016,2.011941262
14/08/2016,3.359951147
25/04/2017,0.543066411
23/08/2016,0.620443084
