Day,BOLETOS,day_of_week,Día,Nombre,Tipo
2016-05-12,0.378152095,3,,,
2016-05-13,1.551223697,4,,,
2016-05-14,2.408466949,5,,,
2016-05-15,2.837285923,6,Domingo,Día del Maestro,No obligatorio
2016-05-16,0.717557806,0,,,
2016-05-17,0.7635969429999999,1,,,
2016-05-18,1.1623374929999999,2,,,
2016-05-19,1.150943508,3,,,
2016-05-20,2.036294968,4,,,
2016-05-21,2.859509576,5,,,
2016-05-22,3.6138285760000004,6,,,
2016-05-23,0.7787454309999999,0,,,
2016-05-24,0.950809937,1,,,
2016-05-25,1.243400168,2,,,
2016-05-26,0.607330052,3,,,
2016-05-27,1.8965302730000002,4,,,
2016-05-28,2.5532387340000002,5,,,
2016-05-29,3.0634433160000003,6,,,
2016-05-30,0.6804205259999999,0,,,
2016-05-31,0.992292133,1,,,
2016-06-01,1.255410661,2,,,
2016-06-02,0.7410731909999999,3,,,
2016-06-03,1.362506945,4,,,
2016-06-04,2.517207254,5,,,
2016-06-05,2.6993935860000002,6,,,
2016-06-06,0.446300717,0,,,
2016-06-07,0.7105772370000001,1,,,
2016-06-08,1.2326977159999999,2,,,
2016-06-09,1.030832051,3,,,
2016-06-10,2.028945798,4,,,
2016-06-11,3.0032766810000004,5,,,
2016-06-12,3.363650196,6,,,
2016-06-13,0.686213746,0,,,
2016-06-14,1.1189013909999999,1,,,
2016-06-15,1.624255455,2,,,
2016-06-16,0.837894338,3,,,
2016-06-17,1.521983593,4,,,
2016-06-18,2.021214981,5,,,
2016-06-19,2.548733984,6,,,
2016-06-20,0.585771837,0,,,
2016-06-21,0.779384773,1,,,
2016-06-22,1.056242627,2,,,
2016-06-23,1.161789486,3,,,
2016-06-24,2.015963244,4,,,
2016-06-25,2.7137428960000003,5,,,
2016-06-26,3.006362484,6,,,
2016-06-27,0.766692532,0,,,
2016-06-28,1.124234676,1,,,
2016-06-29,1.4403370290000002,2,,,
2016-06-30,0.774031916,3,,,
2016-07-01,2.157848206,4,,,
2016-07-02,3.3482505380000003,5,,,
2016-07-03,4.146596053000001,6,,,
2016-07-04,1.083183058,0,,,
2016-07-05,1.4863859519999998,1,,,
2016-07-06,1.9610516080000002,2,,,
2016-07-07,0.901463185,3,,,
2016-07-08,1.7417801869999998,4,,,
2016-07-09,2.785786284,5,,,
2016-07-10,3.373775283,6,,,
2016-07-11,0.900155143,0,,,
2016-07-12,1.313930012,1,,,
2016-07-13,1.819659201,2,,,
2016-07-14,0.9666597440000001,3,,,
2016-07-15,2.679557679,4,Viernes,Vacaciones de Verano,Vacaciones escolares
2016-07-16,3.21020489,5,Sábado,Vacaciones de Verano,Vacaciones escolares
2016-07-17,4.105146478,6,Domingo,Vacaciones de Verano,Vacaciones escolares
2016-07-18,1.4592302330000002,0,Lunes,Vacaciones de Verano,Vacaciones escolares
2016-07-19,1.99936319,1,Martes,Vacaciones de Verano,Vacaciones escolares
2016-07-20,2.6460835659999997,2,Miércoles,Vacaciones de Verano,Vacaciones escolares
2016-07-21,1.25056993,3,Jueves,Vacaciones de Verano,Vacaciones escolares
2016-07-22,1.8234724180000002,4,Viernes,Vacaciones de Verano,Vacaciones escolares
2016-07-23,2.476103445,5,Sábado,Vacaciones de Verano,Vacaciones escolares
