studio,film,total_gross,domestic_gross,international_gross,runtime_min,budget,rating,num_theaters,days_in_theater,open_date,close_date,mov_budget,mov_exp,mov_ext,mov_cat
WB,Vacation,104884188,58884188,46000000,99,31000000,R,3430,93,2015-07-29,2015-10-30,L,M,L,LML
PT,Mission: Impossible -- Rogue Nation,682714267,195042377,487671890,130,150000000,PG-13,3988,91,2015-07-31,2015-10-30,M,H,L,MHL
FX,Fantastic Four,167977596,56117548,111860048,100,120000000,PG-13,4004,77,2015-08-07,2015-10-23,N,H,L,NHL
SO,Ricki and the Flash,41325328,26822144,14503184,101,18000000,PG-13,2064,66,2015-08-07,2015-10-12,N,M,L,NML
SO,The Perfect Guy,60273173,57027435,3245738,100,12000000,PG-13,2230,84,2015-08-11,2015-11-03,N,M,L,NML
UN,Straight Outta Compton,201634991,161197785,40437206,147,28000000,R,3142,56,2015-08-14,2015-10-09,L,M,L,LML
WB,The Man From U.N.C.L.E.,109845109,45445109,64400000,116,75000000,PG-13,3673,70,2015-08-14,2015-10-23,N,H,L,NHL
FX,Hitman: Agent 47,82347656,22467450,59880206,96,35000000,R,3273,56,2015-08-21,2015-10-16,L,M,L,LML
SO,War Room,67790117,67790117,0,120,3000000,PG,1945,108,2015-08-28,2015-12-14,N,M,M,NMM
WB,We Are Your Friends,11122090,3591417,7530673,96,2000000,R,2333,28,2015-08-28,2015-09-25,M,M,L,MML
WB,Black Mass,99775678,62575678,37200000,142,53000000,R,3188,77,2015-09-08,2015-11-24,N,M,L,NML
UN,The Visit,98450062,65206105,33243957,94,5000000,PG-13,3148,58,2015-09-11,2015-11-08,H,M,L,HML
FX,Maze Runner: The Scorch Trials,312325103,81697192,230627911,131,61000000,PG-13,3792,126,2015-09-18,2016-01-22,M,H,M,MHM
UN,Everest (2015),203427584,43482270,159945314,121,55000000,PG-13,3009,58,2015-09-18,2015-11-15,M,M,L,MML
SO,Hotel Transylvania 2,473226958,169700110,303526848,89,80000000,PG,3768,161,2015-09-25,2016-03-04,M,H,M,MHM
WB,The Intern,194564672,75764672,118800000,121,35000000,PG-13,3320,105,2015-09-25,2016-01-08,M,M,M,MMM
SO,The Walk,61181942,10137502,51044440,123,35000000,PG,2509,40,2015-09-30,2015-11-09,L,M,L,LML
FX,The Martian,630161890,228433663,401728227,161,108000000,PG-13,3854,168,2015-10-02,2016-03-18,M,H,M,MHM
WB,Pan,128388320,35088320,93300000,111,150000000,PG,3515,91,2015-10-09,2016-01-08,N,H,L,NHL
UN,Steve Jobs,34441873,17766658,16675215,122,30000000,R,2493,63,2015-10-09,2015-12-11,N,M,L,NML
BV,Bridge of Spies,165478348,72313754,93164594,160,40000000,PG-13,2873,147,2015-10-16,2016-03-11,M,M,M,MMM
UN,Crimson Peak,74679822,31090320,43589502,119,55000000,R,2991,42,2015-10-16,2015-11-27,N,M,L,NML
PT,Paranomal Activity: The Ghost Dimension,78903124,18300124,60603000,95,10000000,R,1656,33,2015-10-23,2015-11-25,H,M,L,HML
SO,Goosebumps,150170815,80080379,70090436,103,58000000,PG,3618,126,2015-10-26,2016-02-29,L,H,M,LHM
SO,Spectre,880674609,200074609,680600000,148,245000000,PG-13,3929,154,2015-11-06,2016-04-08,M,H,M,MHM
FX,The Peanuts,246233113,130178411,116054702,93,99000000,G,3902,147,2015-11-06,2016-04-01,L,H,M,LHM
