studio,film,total_gross,domestic_gross,international_gross,runtime_min,budget,rating,num_theaters,days_in_theater,open_date,close_date,mov_budget,mov_exp,mov_ext,mov_cat
UN,The Mummy (2017),409231607,80227895,329003712,127,125000000,PG-13,4035,77,2017-06-09,2017-08-25,M,H,L,MHL
BV,Cars 3,383924982,152901115,231023867,102,175000000,G,4256,140,2017-06-16,2017-11-03,L,H,M,LHM
SO,Rough Night,47347283,22105643,25241640,101,20000000,R,3162,77,2017-06-16,2017-09-01,L,M,L,LML
PT,Transformers: The Last Knight,605425157,130168683,475256474,149,217000000,PG-13,4132,65,2017-06-21,2017-08-25,M,H,L,MHL
SO,Baby Driver,226945087,107825862,119119225,112,34000000,R,3226,114,2017-06-28,2017-10-20,M,M,M,MMM
UN,Despicable Me 3,1034799409,264624300,770175109,90,80000000,PG,4535,175,2017-06-30,2017-12-22,H,H,M,HHM
WB,The House,34184504,25584504,8600000,88,40000000,R,3134,63,2017-06-30,2017-09-01,N,M,L,NML
SO,Spider-Man: Homecoming,880166924,334201140,545965784,133,175000000,PG-13,4348,147,2017-07-07,2017-12-01,M,H,M,MHM
FX,War for the Planet of the Apes,490719763,146880162,343839601,160,150000000,PG-13,4100,140,2017-07-14,2017-12-01,M,H,M,MHM
WB,Dunkirk,527268280,190068280,337200000,106,100000000,PG-13,4014,126,2017-07-21,2017-11-24,M,H,M,MHM
UN,Girls Trip,140073354,115171585,24901769,142,19000000,R,2648,91,2017-07-21,2017-10-20,L,M,L,LML
PT,Star Trek Beyond,343471816,158848340,184623476,120,185000000,PG-13,3928,91,2017-07-22,2017-10-21,N,H,L,NHL
SO,The Emoji Movie,217776646,86089513,131687133,86,50000000,PG,4075,126,2017-07-28,2017-12-01,M,H,M,MHM
SO,The Dark Tower,113231078,50701325,62529753,95,60000000,PG-13,3451,77,2017-08-04,2017-10-20,L,M,L,LML
WB,It,700381748,327481748,372900000,155,35000000,R,4148,98,2017-08-08,2017-11-14,H,H,L,HHL
WB,Annabelle: Creation,306515884,102092201,204423683,129,15000000,R,3565,84,2017-08-11,2017-11-03,H,H,L,HHL
WB,The LEGO Ninjago Movie,123081555,59281555,63800000,101,70000000,PG,4047,70,2017-08-22,2017-10-31,N,H,L,NHL
PT,mother!,44516999,17800004,26716995,121,30000000,R,2368,42,2017-09-15,2017-10-27,N,M,L,NML
FX,Kingsman: The Golden Circle,410902662,100234838,310667824,161,104000000,R,4038,105,2017-09-22,2018-01-05,M,H,M,MHM
UN,American Made,134866593,51342000,83524593,115,50000000,R,3098,77,2017-09-29,2017-12-15,L,M,L,LML
SO,Flatliners (2017),45158254,16883115,28275139,108,19000000,PG-13,2552,56,2017-09-29,2017-11-24,L,M,L,LML
WB,Blade Runner 2049,259239658,92054159,167185499,163,150000000,R,4058,119,2017-10-06,2018-02-02,L,H,M,LHM
FX,The Mountain Between Us,62832209,30348555,32483654,103,35000000,PG-13,3259,77,2017-10-06,2017-12-22,N,M,L,NML
PT,Daddy's Home 2,180613180,104029443,76583737,100,69000000,PG-13,3575,98,2017-10-10,2018-01-16,L,H,L,LHL
UN,Happy Death Day,122637878,55683845,66954033,96,4800000,PG-13,3535,63,2017-10-13,2017-12-15,H,H,L,HHL
WB,Geostorm,221600160,33700160,187900000,109,120000000,PG-13,3246,84,2017-10-20,2018-01-12,L,M,L,LML
UN,The Snowman,43084060,6700035,36384025,119,35000000,R,1815,35,2017-10-20,2017-11-24,L,M,L,LML
SO,Only the Brave,23482206,18343983,5138223,123,38000000,PG-13,2577,105,2017-10-20,2018-02-02,N,M,M,NMM
UN,Thank You for Your Service (2017),9536300,9536300,0,128,20000000,R,2083,35,2017-10-27,2017-12-01,N,M,L,NML
BV,Thor: Ragnarok,853977126,315058289,538918837,150,180000000,PG-13,4080,133,2017-11-03,2018-03-16,M,H,M,MHM
FX,Murder on the Orient Express,351715237,102826543,248888694,114,55000000,PG-13,3354,112,2017-11-10,2018-03-02,M,M,M,MMM
WB,Justice League,657924295,229024295,428900000,119,300000000,PG-13,4051,119,2017-11-17,2018-03-16,L,H,M,LHM
SO,The Star,62812974,40852824,21960150,86,20000000,PG,2976,91,2017-11-17,2018-02-16,L,M,L,LML
BV,Coco,797732662,209718774,588013888,109,185000000,PG,3987,152,2017-11-22,2018-04-23,M,H,M,MHM
SO,"Roman J. Israel, Esq.",12302517,11962778,339739,129,22000000,PG-13,1669,98,2017-11-27,2018-03-05,N,M,L,NML
BV,Star Wars: The Last Jedi,1332757449,620181382,712576067,171,200000000,PG-13,4232,126,2017-12-15,2018-04-20,M,H,M,MHM
FX,Ferdinand,294556903,84322735,210234168,107,111000000,PG,3630,129,2017-12-15,2018-04-23,L,H,M,LHM
SO,Jumanji: Welcome to the Jungle,956618644,404134301,552484343,119,90000000,PG-13,3849,124,2017-12-20,2018-04-23,H,H,M,HHM
FX,The Greatest Showman,427690275,173524478,254165797,105,84000000,PG,3342,124,2017-12-20,2018-04-23,M,M,M,MMM
UN,Pitch Perfect 3,183897530,104897530,79000000,96,45000000,PG-13,3468,77,2017-12-22,2018-03-09,L,M,L,LML
FX,The Post,174466835,81866835,92600000,115,50000000,PG-13,2851,122,2017-12-22,2018-04-23,L,M,M,LMM
PT,Downsizing,55003890,24449754,30554136,135,68000000,R,2668,42,2017-12-22,2018-02-02,N,M,L,NML
WB,Father Figures,25601244,17501244,8100000,113,25000000,R,2902,56,2017-12-22,2018-02-16,N,M,L,NML
SO,All the Money in the World,53913707,25113707,28800000,132,50000000,R,2123,88,2017-12-25,2018-03-23,N,M,L,NML
UN,Insidious: The Last Key,166831020,67347895,99483125,103,10000000,PG-13,3150,56,2018-01-05,2018-03-02,H,M,L,HML
WB,Paddington 2,224353866,40442052,183911814,103,40000000,PG,3702,63,2018-01-12,2018-03-16,M,H,L,MHL
FX,Maze Runner: The Death Cure,284803018,58018509,226784509,162,62000000,PG-13,3793,87,2018-01-26,2018-04-23,M,H,L,MHL
SO,Proud Mary,21753365,20877013,876352,88,14000000,R,2125,56,2018-01-28,2018-03-25,N,M,L,NML
WB,12 Strong,62891735,45500164,17391571,149,35000000,R,3018,70,2018-01-29,2018-04-09,N,M,L,NML
SO,A Fantastic Woman,1970615,1970615,0,104,0,R,190,80,2018-02-02,2018-04-23,N,L,L,NLL
UN,Fifty Shades Freed,368307760,100407760,267900000,105,55000000,R,3768,56,2018-02-09,2018-04-06,M,H,L,MHL
SO,Peter Rabbit,310609917,114276056,196333861,93,50000000,PG,3725,73,2018-02-09,2018-04-23,M,H,L,MHL
WB,The 15:17 to Paris,56350957,36250957,20100000,94,30000000,PG-13,3042,63,2018-02-09,2018-04-13,N,M,L,NML
SO,Pad Man,17837157,1670192,16166965,124,0,PG-13,152,28,2018-02-09,2018-03-09,N,L,L,NLL
BV,Black Panther,1324656634,681374736,643281898,140,200000000,PG-13,4084,66,2018-02-16,2018-04-23,M,H,L,MHL
WB,Game Night,108705293,68205293,40500000,100,37000000,R,3502,59,2018-02-23,2018-04-23,L,H,L,LHL
PT,Annihilation,32732301,32732301,0,135,40000000,R,2112,56,2018-02-23,2018-04-20,N,M,L,NML
FX,Red Sparrow,145083182,46644711,98438471,159,69000000,R,3064,52,2018-03-02,2018-04-23,L,M,L,LML
BV,A Wrinkle in Time,124256336,93718321,30538015,115,100000000,PG,3980,45,2018-03-09,2018-04-23,N,H,L,NHL
WB,Tomb Raider,269300036,56700036,212600000,118,94000000,PG-13,3854,38,2018-03-16,2018-04-23,M,H,L,MHL
FX,"Love, Simon",53267098,40213391,13053707,109,17000000,PG-13,2434,38,2018-03-16,2018-04-23,N,M,L,NML
UN,Pacific Rim Uprising,286415635,58715635,227700000,111,150000000,PG-13,3708,32,2018-03-23,2018-04-24,L,H,L,LHL
PT,Sherlock Gnomes,57763745,39663745,18100000,86,59000000,PG,3662,32,2018-03-23,2018-04-24,N,H,L,NHL
SO,Paul Apostle of Christ,18386550,17011816,1374734,107,5000000,PG-13,1473,31,2018-03-23,2018-04-23,N,L,L,NLL
WB,Ready Player One,521900064,126100064,395800000,160,175000000,PG-13,4234,25,2018-03-29,2018-04-23,M,H,L,MHL
PT,A Quiet Place,207583628,132783628,74800000,95,17000000,PG-13,3808,18,2018-04-06,2018-04-24,M,H,L,MHL
UN,Blockers,68029515,48629515,19400000,102,21000000,R,3418,18,2018-04-06,2018-04-24,N,M,L,NML
WB,Rampage,283294360,65694360,217600000,107,120000000,PG-13,4115,10,2018-04-13,2018-04-23,L,H,L,LHL
UN,Truth or Dare,38635360,30735360,7900000,100,3500000,PG-13,3068,11,2018-04-13,2018-04-24,M,M,L,MML
