studio,film,total_gross,domestic_gross,international_gross,runtime_min,budget,rating,num_theaters,days_in_theater,open_date
Sony,Paul Blart: Mall Cop 2,107588225,71038190,36550035,94,30000000,PG,3633,108,2015-04-17
Universal,Unfriended,64056643,32482090,31574553,83,1000000,R,2775,42,2015-04-17
Buena Vista,Monkey Kingdom,17143322,16432322,711000,81,0,G,2012,98,2015-04-17
Buena Vista,Avengers: Age of Ultron,1405403694,459005868,946397826,161,250000000,PG-13,4276,161,2015-05-01
WB,Hot Pursuit,51680201,34580201,17100000,87,35000000,PG-13,3037,84,2015-05-08
WB,Mad Max: Fury Road,378858340,154058340,224800000,120,150000000,R,3722,133,2015-05-15
Universal,Pitch Perfect 2,287506194,184296230,103209964,115,29000000,PG-13,3660,76,2015-05-15
Buena Vista,Tomorrowland,209154322,93436322,115718000,150,190000000,PG,3972,119,2015-05-22
20th Century Fox,Poltergeist (2015),95437994,47425125,48012869,93,35000000,PG-13,3242,77,2015-05-22
WB,San Andreas,473990832,155190832,318800000,114,110000000,PG-13,3812,140,2015-05-29
Sony,Aloha (2015),26250020,21067116,5182904,105,37000000,PG-13,2815,63,2015-05-29
WB,Entourage,49263404,32363404,16900000,104,30000000,R,3108,72,2015-06-03
20th Century Fox,Spy,235666219,110825712,124840507,120,65000000,R,3715,126,2015-06-05
Universal,Jurassic World,1671713208,652270625,1019442583,122,150000000,PG-13,4291,120,2015-06-12
Buena Vista,Inside Out,857611174,356461711,501149463,94,175000000,PG,4158,175,2015-06-19
Universal,Ted 2,216691733,81476385,135215348,115,68000000,R,3448,59,2015-06-26
WB,Max (2015),43967255,42656255,1311000,111,20000000,PG,2870,112,2015-06-26
Paramount,Terminator: Genisys,440603537,89760956,350842581,126,155000000,PG-13,3783,79,2015-07-01
WB,Magic Mike XXL,122513057,66013057,56500000,115,14800000,R,3376,86,2015-07-01
Universal,Minions,1159398397,336045770,823352627,91,74000000,PG,4311,161,2015-07-10
WB,The Gallows,42964410,22764410,20200000,81,100000,R,2720,70,2015-07-10
Buena Vista,Ant-Man,519311965,180202163,339109802,117,130000000,PG-13,3868,154,2015-07-17
Universal,Trainwreck,140795793,110212700,30583093,125,35000000,R,3171,87,2015-07-17
Sony,Pixels,244874809,78747585,166127224,105,88000000,PG-13,3723,108,2015-07-24
20th Century Fox,Paper Towns,85512300,32000304,53511996,109,12000000,PG-13,3031,84,2015-07-24
WB,Vacation,104884188,58884188,46000000,99,31000000,R,3430,93,2015-07-29
Paramount,Mission: Impossible -- Rogue Nation,682714267,195042377,487671890,130,150000000,PG-13,3988,91,2015-07-31
20th Century Fox,Fantastic Four,167977596,56117548,111860048,100,120000000,PG-13,4004,77,2015-08-07
Sony,Ricki and the Flash,41325328,26822144,14503184,101,18000000,PG-13,2064,66,2015-08-07
Sony,The Perfect Guy,60273173,57027435,3245738,100,12000000,PG-13,2230,84,2015-08-11
Universal,Straight Outta Compton,201634991,161197785,40437206,147,28000000,R,3142,56,2015-08-14
WB,The Man From U.N.C.L.E.,109845109,45445109,64400000,116,75000000,PG-13,3673,70,2015-08-14
20th Century Fox,Hitman: Agent 47,82347656,22467450,59880206,96,35000000,R,3273,56,2015-08-21
Sony,War Room,67790117,67790117,0,120,3000000,PG,1945,108,2015-08-28
WB,We Are Your Friends,11122090,3591417,7530673,96,2000000,R,2333,28,2015-08-28
WB,Black Mass,99775678,62575678,37200000,142,53000000,R,3188,77,2015-09-08
Universal,The Visit,98450062,65206105,33243957,94,5000000,PG-13,3148,58,2015-09-11
20th Century Fox,Maze Runner: The Scorch Trials,312325103,81697192,230627911,131,61000000,PG-13,3792,126,2015-09-18
Universal,Everest (2015),203427584,43482270,159945314,121,55000000,PG-13,3009,58,2015-09-18
Sony,Hotel Transylvania 2,473226958,169700110,303526848,89,80000000,PG,3768,161,2015-09-25
WB,The Intern,194564672,75764672,118800000,121,35000000,PG-13,3320,105,2015-09-25
Sony,The Walk,61181942,10137502,51044440,123,35000000,PG,2509,40,2015-09-30
20th Century Fox,The Martian,630161890,228433663,401728227,161,108000000,PG-13,3854,168,2015-10-02
WB,Pan,128388320,35088320,93300000,111,150000000,PG,3515,91,2015-10-09
Universal,Steve Jobs,34441873,17766658,16675215,122,30000000,R,2493,63,2015-10-09
Buena Vista,Bridge of Spies,165478348,72313754,93164594,160,40000000,PG-13,2873,147,2015-10-16
Universal,Crimson Peak,74679822,31090320,43589502,119,55000000,R,2991,42,2015-10-16
Paramount,Paranomal Activity: The Ghost Dimension,78903124,18300124,60603000,95,10000000,R,1656,33,2015-10-23
